N,Z,E,U(E),known,A,N-Z,N/Z
1,0,0.0,0.0,1,1,1,inf
0,1,0.0,0.0,1,1,-1,0.0
1,1,1112.2831,0.0002,1,2,0,1.0
2,1,2827.2654,0.0003,1,3,1,2.0
1,2,2572.68044,0.00015,1,3,-1,0.5
0,3,-2267.0,667.0,0,3,-3,0.0
3,1,1720.4491,25.0,1,4,2,3.0
2,2,7073.9156,0.0002,1,4,0,1.0
1,3,1153.7603,53.033,1,4,-2,0.3333333333333333
4,1,1336.3592,17.8885,1,5,3,4.0
3,2,5512.1325,4.0,1,5,1,1.5
2,3,5266.1325,10.0,1,5,-1,0.6666666666666666
1,4,18.0,401.0,0,5,-3,0.25
5,1,961.6395,42.3545,1,6,4,5.0
4,2,4878.5199,0.0089,1,6,2,2.0
3,3,5332.3312,0.0003,1,6,0,1.0
2,4,4487.2478,0.908,1,6,-2,0.5
1,5,-467.0,334.0,0,6,-4,0.2
6,1,940.0,143.0,0,7,5,6.0
5,2,4123.0578,1.0799,1,7,3,2.5
4,3,5606.4401,0.0006,1,7,1,1.3333333333333333
3,4,5371.5487,0.0101,1,7,-1,0.75
2,5,3558.7055,3.5929,1,7,-3,0.4
6,2,3924.521,0.0111,1,8,4,3.0
5,3,5159.7124,0.0059,1,8,2,1.6666666666666667
4,4,7062.4356,0.0044,1,8,0,1.0
3,5,4717.1551,0.125,1,8,-2,0.6
2,6,3101.5242,2.2804,1,8,-4,0.3333333333333333
7,2,3349.038,5.2018,1,9,5,3.5
6,3,5037.7685,0.0207,1,9,3,2.0
5,4,6462.6693,0.0085,1,9,1,1.25
4,5,6257.0713,0.1003,1,9,-1,0.8
3,6,4337.4233,0.2374,1,9,-3,0.5
8,2,2995.134,9.2848,1,10,6,4.0
7,3,4531.3512,1.2721,1,10,4,2.3333333333333335
6,4,6497.6306,0.0081,1,10,2,1.5
5,5,6475.0835,0.0015,1,10,0,1.0
4,6,6032.0426,0.007,1,10,-2,0.6666666666666666
3,7,3643.6724,40.0,1,10,-4,0.42857142857142855
8,3,4155.3817,0.0559,1,11,5,2.6666666666666665
7,4,5952.5402,0.0216,1,11,3,1.75
6,5,6927.7323,0.0011,1,11,1,1.2
5,6,6676.4563,0.0054,1,11,-1,0.8333333333333334
4,7,5358.4023,0.4546,1,11,-3,0.5714285714285714
3,8,3162.4372,5.458,1,11,-5,0.375
9,3,3791.5999,2.5005,1,12,6,3.0
8,4,5720.7223,0.159,1,12,4,2.0
7,5,6631.2237,0.1101,1,12,2,1.4
6,6,7680.1446,0.0002,1,12,0,1.0
5,7,6170.11,0.0833,1,12,-2,0.7142857142857143
4,8,4881.9755,1.0,1,12,-4,0.5
10,3,3507.6307,5.3848,1,13,7,3.3333333333333335
9,4,5241.4359,0.7831,1,13,5,2.25
8,5,6496.4194,0.0769,1,13,3,1.6
7,6,7469.8495,0.0002,1,13,1,1.1666666666666667
6,7,7238.8634,0.0207,1,13,-1,0.8571428571428571
5,8,5811.7636,0.7328,1,13,-3,0.625
